Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,resnet18,224,69.752,8,8,36.91387527,27076950.14,69318.49752,11.689512,11689512,1814083944,11689512,1825313768,10289616,TRUE
TBD,TBD,resnet34,224,73.298,8,8,20.22148464,49439190.47,168118.4343,21.797672,21797672,3663779432,21797672,3680019432,15934416,TRUE
TBD,TBD,resnet50,224,76.156,8,8,14.82611298,67435823.5,159086.8909,25.557032,25557032,4089238376,25557032,4132436968,43335120,TRUE
TBD,TBD,efficientnet_b0,224,76.542,8,8,33.88397015,29500944.75,84613.99976,5.246532,5246532,385825092,5288548,392108448,30457832,TRUE
TBD,TBD,efficientnet_b1,224,77.592,8,8,23.53086431,42483385.82,154478.0695,7.732136,7732136,569666840,7794184,578183224,42835856,TRUE
TBD,TBD,mobilenetv2_100,224,72.91,8,8,52.5258456,19029630.47,28292.52377,3.47076,3470760,300775272,3504872,307006504,30180432,TRUE
TBD,TBD,mobilenetv3_small_100,224,67.922,8,8,166.0922071,6017718.984,19350.00541,2.530744,2530744,56515312,2542856,56488744,6447648,TRUE
TBD,TBD,pit_xs_224,224,78.196,8,8,13.112815,76243462.61,140746.4421,10.548808,10548808,64851400,10618888,1097562952,16121240,TRUE
TBD,TBD,mnasnet_small,224,66.204,8,8,127.241612,7855627.253,28965.91257,2.013336,2013336,68342784,2030264,72297488,9877680,TRUE
TBD,TBD,resnext50_32x4d,224,80.526,8,8,8.77155089,113990809.2,410720.7351,25.028904,25028904,4230549096,25028904,4286878696,55954384,TRUE
TBD,TBD,densenet121,224,74.75,8,8,15.12926564,66082479.94,164971.2602,7.895208,7895208,2834162664,7978856,2868608488,57042640,TRUE
TBD,TBD,inception_v3,299,77.472,8,8,14.96764749,66795943.06,203201.1616,23.834568,23834568,2837956552,23834568,2855804792,15467136,TRUE
TBD,TBD,inception_v4,299,80.144,8,8,7.46639658,133915929,452867.8004,42.679816,42679816,6121958920,42679816,6160592712,39083408,TRUE
TBD,TBD,vit_tiny_patch16_224,224,75.452,8,8,30.0252507,33292915.42,125416.0845,5.6794,5679400,34470760,5717416,1079487400,14372372,TRUE
TBD,TBD,deit_small_patch16_224,224,79.856,8,8,12.4640566,80214666.61,192651.2739,21.974632,21974632,79557352,22050664,4250489704,28742744,TRUE
TBD,TBD,swin_tiny_patch4_window7_224,224,81.388,8,8,8.30956461,120326185.4,414113.4233,28.265032,28265032,62796520,28288354,4368122296,44760560,TRUE
TBD,TBD,pvt_v2_b2_li,224,78.196,8,8,5.6229782,177793145,391364.4843,22.553512,22553512,422153704,22553512,3803266856,70917152,TRUE
TBD,TBD,poolformer_m36,224,82.104,8,8,4.68270625,213491761.8,415936.548,56.146024,56146024,8780858344,56172520,8823704296,109586384,TRUE
TBD,TBD,edgenext_small,256,81.068,8,8,15.22094403,65684858.86,146154.4466,5.583464,5583464,77707904,5586832,965893600,21848836,TRUE
TBD,TBD,levit_128,224,78.486,8,8,16.82037748,59436330.26,169689.9523,9.206112,9206112,60481200,9213936,367794384,7064072,TRUE
TBD,TBD,levit_192,224,79.858,8,8,13.04832747,76620774.03,207560.4089,10.941736,10941736,119852128,10947069,601862032,9601000,TRUE
TBD,TBD,poolformer_m48,224,82.462,8,8,3.903946,256085699.1,633804.257,73.43812,73438120,11562558184,73473448,11619686632,145336784,TRUE
TBD,TBD,resmlp_12_224,224,76.66,8,8,20.04357774,49877323.17,195712.8951,15.341656,15341656,72905176,15350872,3017066776,19344848,TRUE
TBD,TBD,resnet26,224,75.298,8,8,24.54577277,40727091.71,96835.9276,15.995176,15995176,2342288488,15995176,2370456552,28282320,TRUE
TBD,TBD,resnet26d,224,76.698,8,8,22.01108581,45418641,152272.7616,16.014408,16014408,2581929192,16014408,2616118248,32045520,TRUE
TBD,TBD,resnet50d,224,80.73,8,8,13.87104175,72078506.04,227658.4009,25.576264,25576264,4328879080,25576264,4378098664,47098320,TRUE
TBD,TBD,resnet101,224,81.494,8,8,8.43332426,118561149.2,340069.9443,44.54916,44549160,7801511784,44549160,7865129960,63806928,TRUE
TBD,TBD,resnet152,224,78.33,8,8,5.79231393,172625541.1,546045.0556,60.192808,60192808,11513779048,60192808,11602639848,89095632,TRUE
TBD,TBD,resnest50d,224,80.958,8,8,13.86354027,72115817.37,238455.0928,27.48324,27483240,5371235592,27483240,5431598024,63275760,TRUE
TBD,TBD,resnext101_32x8d,224,79.308,8,5,1.94587922,513880078.3,1399696.255,88.791336,88791336,16414219368,88791336,16537650152,122136528,TRUE
TBD,TBD,efficientnet_b2,256,79.324,8,8,21.8579649,45735429.28,156203.6517,9.042426,9042426,658979850,9109994,667921996,44909284,TRUE
TBD,TBD,efficientnet_b3,300,80.878,8,8,16.63394956,60102496.8,221001.9184,12.145936,12145936,962729320,12233232,974517576,59592352,TRUE
TBD,TBD,efficientnet_b4,380,82.598,8,8,11.90148475,84007922.63,263892.0434,19.216416,19216416,1503740472,19341616,1519283664,78167536,TRUE
TBD,TBD,efficientnet_lite0,224,74.846,8,8,40.63070943,24598436.03,63861.72316,4.609992,4609992,385188552,4652008,391471528,30439152,TRUE
TBD,TBD,efficientnet_lite1,240,76.674,8,8,30.48056122,32794409.01,85163.38909,5.363016,5363016,502468680,5416680,510595624,39658992,TRUE
TBD,TBD,efficientnetv2_rw_t,224,81.37,8,8,17.53500129,57014505.26,143717.817,13.530364,13530364,1912908004,13649388,1921780880,48506680,TRUE
TBD,TBD,efficientnetv2_rw_s,288,82.888,8,8,13.23320061,75550721.66,210090.3657,23.780448,23780448,2943967704,23941296,2955036168,63022432,TRUE
TBD,TBD,mobilenetv2_050,224,65.928,8,8,27.3143599,36596920.1,138217.2271,1.950136,1950136,97132840,1968680,100587144,16441616,TRUE
TBD,TBD,poolformer_s12,224,77.238,8,8,16.9113422,59114606.83,141104.6052,11.90852,11908520,1817814248,11915176,1828085992,27322832,TRUE
TBD,TBD,mobilenetv2_120d,224,77.3,8,8,27.3143599,36596920.1,138217.2271,5.767368,5767368,668858568,5831144,679920808,54357424,TRUE
TBD,TBD,mobilenetv3_large_100,224,75.784,8,8,63.57886858,15722573.88,59989.55024,5.458632,5458632,216597120,5483032,220040984,20493824,TRUE
TBD,TBD,mobilenetv3_small_075,224,65.706,8,8,192.2470976,5198624.885,22642.04911,2.032192,2032192,43403656,2041872,43362736,5898000,TRUE
TBD,TBD,regnetz_d8,256,83.546,8,8,8.834243,113161329.8,258955.099,23.281776,23281776,3003581160,23373792,3020061160,114834208,TRUE
TBD,TBD,regnetz_d32,256,83.432,8,8,7.0559376,141686129.4,293965.9399,27.484272,27484272,4542579432,27576288,4559059432,114834208,TRUE
TBD,TBD,densenet169,224,75.922,8,8,11.80499164,84697002.37,259753.3323,13.99108,13991080,3359844328,14149480,3401114088,67713232,TRUE
TBD,TBD,densenet201,224,77.284,8,8,8.85900004,112864659.2,377783.3884,19.784872,19784872,4291366888,20013928,4344126952,85564112,TRUE
TBD,TBD,inception_resnet_v2,299,80.434,8,8,7.21394426,138598923.9,487278.9243,55.843464,55843464,6474676104,55843464,6517065736,47327280,TRUE
TBD,TBD,regnetx_002,224,68.758,8,8,84.30357914,11858927.65,50036.84425,2.663944,2663944,199040872,2684792,203069064,12661216,TRUE
TBD,TBD,regnetx_004,224,74.596,8,8,31.78320117,31455922.1,103236.444,5.12084,5120840,397678568,5157512,403599336,18965408,TRUE
TBD,TBD,regnety_002,224,70.288,8,8,78.01933315,12814266.08,36357.30644,3.142148,3142148,199519076,3162996,203548732,12669940,TRUE
TBD,TBD,regnety_004,224,75.594,8,8,46.7462189,21388325.86,63886.99024,4.316992,4316992,401849056,4344144,409077888,23315216,TRUE
TBD,TBD,cspresnet50,256,79.578,8,8,16.54973155,60410407.64,191406.2273,21.575848,21575848,3458753512,21616168,3467760104,57207712,TRUE
TBD,TBD,cspdarknet53,256,80.078,8,8,11.98847883,83396793.41,165675.9774,27.606856,27606856,5002568680,27642184,5015539176,77428640,TRUE
TBD,TBD,vit_small_patch16_224,224,78.842,8,8,12.41637769,80523578.02,187851.8022,21.974632,21974632,79557352,22050664,4250489704,28742744,TRUE
TBD,TBD,vit_small_patch32_224,224,76.01,8,8,44.88164627,22271294.3,86229.25924,22.859368,22859368,79500904,22878952,1122254440,6766832,TRUE
TBD,TBD,vit_base_patch16_224,224,80.246,7,7,4.2025184,237931223.7,853535.8218,86.415592,86415592,201581032,86567656,16867042024,57483488,TRUE
TBD,TBD,vit_base_patch32_224,224,73.704,8,8,14.39214307,69464690.89,247799.8207,88.185064,88185064,201468136,88224232,4367874280,13531664,TRUE
TBD,TBD,deit_tiny_patch16_224,224,72.19,8,8,29.81935342,33522742.48,100825.6895,5.6794,5679400,34470760,5717416,1079487400,14372372,TRUE
TBD,TBD,deit_base_patch16_224,224,81.98,8,8,4.19111136,238578900,616411.6812,86.415592,86415592,201581032,86567656,16867042024,57483488,TRUE
TBD,TBD,deit_small_distilled_patch16_224,224,81.204,8,8,12.43647703,80393660.01,189178.2699,22.359632,22359632,79942352,22436432,4272154832,28826328,TRUE
TBD,TBD,swin_small_patch4_window7_224,224,83.228,8,8,4.96003981,201593219.8,574017.1092,49.5586,49558600,105379048,49606258,8540376568,71008880,TRUE
TBD,TBD,swin_base_patch4_window7_224,224,83.604,8,8,3.38919034,295037426.9,763925.6761,87.70468,87704680,180318184,87768224,15163614888,94677840,TRUE
TBD,TBD,nest_tiny_jx,224,81.428,8,8,7.20422624,138787094.1,507558.9868,16.53076,16530760,1071800488,17057608,5235448936,53026640,TRUE
TBD,TBD,nest_small_jx,224,83.132,8,8,4.58450869,218105143,732424.0774,37.824328,37824328,1093094056,38351176,9406320232,82040912,TRUE
TBD,TBD,mobilevit_xxs,256,68.936,8,8,42.92849362,23286555.13,72973.96376,1.267912,1267912,151745512,1272024,258855529,25398384,TRUE
TBD,TBD,pvt_v2_b0,224,70.654,8,8,22.63193918,44172409.78,74555.51603,3.66676,3666760,118691944,3666760,537658216,20184904,TRUE
TBD,TBD,pvt_v2_b1,224,78.698,8,8,12.78005596,78229285.08,257231.3294,14.009,14009000,389082344,14009000,2051539688,39772360,TRUE
TBD,TBD,crossvit_9_240,240,73.994,8,8,19.72343084,50687297.42,124709.4824,8.451152,8451152,68953808,8553296,1543324880,6893832,TRUE
TBD,TBD,crossvit_15_240,240,81.522,8,8,8.3581072,119628423.2,274856.681,27.375248,27375248,118129232,27528464,5169152720,14588856,TRUE
TBD,TBD,twins_pcpvt_small,224,81.116,8,8,8.78015553,113874805,343694.8007,24.106216,24106216,333237736,24106216,3690929064,51492768,TRUE
TBD,TBD,twins_svt_small,224,81.694,8,8,11.39756032,87721878.28,306484.4496,24.060776,24060776,202353704,24060776,2822725864,34999760,TRUE
TBD,TBD,visformer_small,224,82.092,8,8,6.47547519,154408715.3,562155.9445,39.956168,39956168,4746904616,40219592,4765118184,32544616,TRUE
TBD,TBD,tnt_s_patch16_224,224,81.506,8,8,4.14690759,241125495.4,336005.8744,23.67892,23678920,51662440,23755336,4849659304,54698456,TRUE
TBD,TBD,mobilevit_xs,256,74.618,8,8,24.55830132,40705691.51,121243.2799,2.3094,2309400,469932072,2317848,712006473,59943536,TRUE
TBD,TBD,mobilevit_s,256,78.298,8,8,17.50105489,57124668.09,119963.1583,5.566376,5566376,848632616,5578632,1427588169,73072304,TRUE
TBD,TBD,mobilevitv2_050,256,70.156,8,8,51.85021287,19280098.04,47649.00089,1.362817,1362817,363158680,1370593,367601416,36141952,TRUE
TBD,TBD,mobilevitv2_075,256,75.612,8,8,30.70236419,32557104.97,83338.66377,2.854345,2854345,802833400,2866009,809496200,54208384,TRUE
TBD,TBD,levit_384,224,82.6,8,8,23.80260057,41998833.54,122359.9878,39.118464,39118464,451383408,39128836,2242428624,18758152,TRUE
TBD,TBD,edgenext_x_small,256,74.874,8,8,21.43192022,46650426.47,93698.86605,2.334672,2334672,41058324,2336804,411648796,14291748,TRUE
TBD,TBD,edgenext_xx_small,256,71.132,8,5,33.0816304,30222727.08,83037.72566,1.325892,1325892,25058364,1327216,198838308,7986150,TRUE
TBD,TBD,mobilevit_xs,256,74.618,8,8,24.52572052,40758449.13,92378.23431,2.3094,2309400,469932072,2317848,712006473,59943536,TRUE
TBD,TBD,mobilevit_s,256,78.298,8,8,17.49489965,57143340.02,180800.4863,5.566376,5566376,848632616,5578632,1427588169,73072304,TRUE
TBD,TBD,coat_tiny,224,78.442,8,8,3.23303024,309291977.3,1046290.051,5.497932,5497932,636608160,5498540,4675240712,71168096,TRUE
TBD,TBD,coat_lite_tiny,224,77.548,8,8,9.02829447,110748444.9,336804.237,5.721192,5721192,172891944,5721960,1641748328,30406416,TRUE
TBD,TBD,mobilevitv2_100,256,78.088,8,8,22.05731626,45320826.76,132943.7536,4.886289,4886289,1414572888,4901841,1423455752,72274816,TRUE
TBD,TBD,mobilevitv2_125,256,79.682,8,8,15.06702684,66354587.45,200888.2372,7.458649,7458649,2198377144,7478089,2209480072,90341248,TRUE
TBD,TBD,mobilevitv2_150,256,80.38,8,8,12.55125226,79656535.21,308289.2211,10.571425,10571425,3154246168,10594753,3167569160,108407680,TRUE
TBD,TBD,mobilevitv2_175,256,80.87,8,8,9.95114729,100472172.1,323602.7453,14.224617,14224617,4282179960,14251833,4297723016,126474112,TRUE
TBD,TBD,mixer_b16_224,224,82.314,8,8,5.74180995,174142524.4,721270.8253,59.880472,59880472,175045912,59880472,12627264280,52917200,TRUE
TBD,TBD,resnest14d,224,75.516,8,8,15.5071719,64468388.62,146040.7236,10.611688,10611688,2749430920,10611688,2781725768,32151152,TRUE
TBD,TBD,gmlp_s16_224,224,79.652,8,8,9.29414836,107579114,251465.7512,19.422656,19422656,57811136,19422656,4416306400,49927120,TRUE
TBD,TBD,resnest26d,224,78.476,8,8,8.55769448,116819309.3,216921.5141,17.069448,17069448,3623433768,17069448,3666255016,43822352,TRUE
TBD,TBD,resmlp_24_224,224,80.766,8,8,10.21698074,97858781.35,292482.4684,30.002248,30002248,87547336,30020680,5975870536,38311376,TRUE
TBD,TBD,resmlp_36_224,224,79.772,8,8,6.85961375,145762948.1,450193.0957,44.66284,44662840,102189496,44690488,8934674296,57277904,TRUE
TBD,TBD,mobilevitv2_200,256,81.148,8,8,8.51729171,117390715.3,312821.0063,18.418225,18418225,5582178520,18449329,5599941640,144540544,TRUE
TBD,TBD,coatnet_0_224,224,82.39,8,8,7.46541653,133932090.6,472850.2405,24.432532,24432532,4397445112,24446228,4416355432,97208640,TRUE
TBD,TBD,crossvit_tiny_240,240,73.352,8,8,13.77554558,72579575.79,84110.59633,6.938192,6938192,52315184,7014800,1296991280,6801777,TRUE
TBD,TBD,crossvit_18_dagger_240,240,82.494,8,8,3.75483321,266310280.7,398857.2359,44.088224,44088224,591805968,44266976,8648350160,21222299,TRUE
TBD,TBD,twins_svt_large,224,83.718,8,8,2.81110086,355716834.5,519165.1591,60.989672,60989672,833676776,60989672,9541749864,100287556,TRUE
TBD,TBD,hardcorenas_a,224,75.926,8,8,51.92916548,19248213.21,69860.46509,5.239848,5239848,224235240,5260232,227578736,20147184,TRUE
TBD,TBD,ghostnet_050,224,66.9,8,8,119.5382885,8362596.269,34613.5958,2.586332,2586332,42342920,2587292,47035016,8943536,TRUE
TBD,TBD,ghostnet_100,224,73.958,8,8,63.06363858,15852577.79,51126.50331,5.180588,5180588,141177764,5182508,151840388,17881224,TRUE
