Type,Family,Model Name,Input Size,Accuracy,Max BS,Optimal BS,Throughput,Latency,Energy,param_count,params_tinfo,macs_tinfo,params_ptflops,macs_ptflops,activations,DONE
TBD,TBD,bat_resnext26ts.ch_in1k,256,78.28,38,38,710.1047911,53724693.5,433071.4113,10.73,10731200,2481540072,10731200,2517770216,83730592,TRUE
TBD,TBD,beit_base_patch16_224.in22k_ft_in22k_in1k,224,85.244,2,2,154.0738641,13998258.21,2017174.143,86.53,86530984,180319720,86530984,12691038184,49777616,TRUE
TBD,TBD,beit_base_patch16_384.in22k_ft_in22k_in1k,384,86.816,20,20,105.9352455,188796428.8,3143047.677,86.74,86744104,404744680,86744104,37170869224,145792976,TRUE
TBD,TBD,beit_large_patch16_224.in22k_ft_in22k_in1k,224,87.488,20,20,108.4865112,184357538.4,3067378.088,304.43,304430568,382106600,304430568,44842152936,131729360,TRUE
TBD,TBD,beit_large_patch16_384.in22k_ft_in22k_in1k,384,88.382,4,6,30.80456205,194778362.3,10826982.06,305,304998888,681339880,304998888,1.31E+11,385824720,TRUE
TBD,TBD,beit_large_patch16_512.in22k_ft_in22k_in1k,512,88.578,2,2,12.73212208,157084502.3,26188552.39,305.67,305674728,1034120168,305674728,2.33E+11,685389776,TRUE
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in1k,224,85.596,62,44,370.7585125,118677955.5,899747.3005,86.53,86530984,180319720,86530984,12691038184,49777616,TRUE
TBD,TBD,beitv2_base_patch16_224.in1k_ft_in22k_in1k,224,86.494,62,40,369.0376696,108392657.2,900734.4857,86.53,86530984,180319720,86530984,12691038184,49777616,TRUE
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in1k,224,87.414,20,20,108.5314597,184281512.9,3061432.041,304.43,304430568,382106600,304430568,44842152936,131729360,TRUE
TBD,TBD,beitv2_large_patch16_224.in1k_ft_in22k_in1k,224,88.406,20,20,108.5486392,184252361.5,3070485.207,304.43,304430568,382106600,304430568,44842152936,131729360,TRUE
TBD,TBD,botnet26t_256.c1_in1k,256,79.256,96,96,1442.54018,66549296.81,227719.795,12.49,12488672,3179365352,12488672,3199091688,75689888,TRUE
TBD,TBD,caformer_b36.sail_in1k,224,85.502,14,11,191.7087438,57378971.13,1665393.358,98.75,98753614,10381390312,98753614,22500860136,236414648,TRUE
TBD,TBD,caformer_b36.sail_in1k_384,384,86.404,4,5,58.68845462,85196023.36,5422661.033,98.75,98753614,30347015912,98753614,66114426856,694725048,TRUE
TBD,TBD,caformer_b36.sail_in22k_ft_in1k,224,87.44,14,11,191.6843775,57386349.35,1674932.877,98.75,98753614,10381390312,98753614,22500860136,236414648,TRUE
TBD,TBD,caformer_b36.sail_in22k_ft_in1k_384,384,88.066,4,5,58.6514685,85249724.33,5423708.406,98.75,98753614,30347015912,98753614,66114426856,694725048,TRUE
TBD,TBD,caformer_m36.sail_in1k,224,85.24,20,20,274.389829,72889190.75,1163643.762,56.2,56204878,5917701736,56204878,12745918888,177311736,TRUE
TBD,TBD,caformer_m36.sail_in1k_384,384,86.16,4,5,85.84343992,58245732.57,3755150.268,56.2,56204878,17298786856,56204878,37450339048,521044536,TRUE
TBD,TBD,caformer_m36.sail_in22k_ft_in1k,224,86.608,20,20,274.3291009,72905357.82,1165244.211,56.2,56204878,5917701736,56204878,12745918888,177311736,TRUE
TBD,TBD,caformer_m36.sail_in22k_ft_in1k_384,384,87.472,4,5,85.74748435,58310978.7,3756082.961,56.2,56204878,17298786856,56204878,37450339048,521044536,TRUE
TBD,TBD,caformer_s18.sail_in1k,224,83.668,56,44,770.8657543,57078853.98,413820.4751,26.34,26341656,1269168168,26341656,3894691560,66411704,TRUE
TBD,TBD,caformer_s18.sail_in1k_384,384,85.036,18,18,235.6324168,76390308.4,1363810.84,26.34,26341656,3684022568,26341656,11439606760,195137464,TRUE
TBD,TBD,caformer_s18.sail_in22k_ft_in1k,224,84.086,56,44,770.2063268,57127677.55,413129.8922,26.34,26341656,1269168168,26341656,3894691560,66411704,TRUE
TBD,TBD,caformer_s18.sail_in22k_ft_in1k_384,384,85.424,18,18,235.3404126,76485040.65,1365735.519,26.34,26341656,3684022568,26341656,11439606760,195137464,TRUE
TBD,TBD,caformer_s36.sail_in1k,224,84.544,28,26,393.7172037,66037837.02,811741.9712,39.3,39297102,2756011944,39297102,7553425128,127601336,TRUE
TBD,TBD,caformer_s36.sail_in1k_384,384,85.756,10,9,120.33425,74791861.96,2670385.365,39.3,39297102,8032065704,39297102,22191803368,374960056,TRUE
TBD,TBD,caformer_s36.sail_in22k_ft_in1k,224,85.788,28,26,393.2389419,66118088.27,815360.7188,39.3,39297102,2756011944,39297102,7553425128,127601336,TRUE
TBD,TBD,caformer_s36.sail_in22k_ft_in1k_384,384,86.864,10,9,120.2555963,74840806.95,2663482.698,39.3,39297102,8032065704,39297102,22191803368,374960056,TRUE
TBD,TBD,cait_m36_384.fb_dist_in1k,384,86.064,1,1,15.93027853,62773829.33,20875234.14,271.22,271221352,610310248,271221352,1.55E+11,1056424400,TRUE
TBD,TBD,cait_m48_448.fb_dist_in1k,448,86.482,0,,,,,356.46,356460520,818214376,356460520,2.85E+11,2290483664,TRUE
TBD,TBD,cait_s24_224.fb_dist_in1k,224,83.484,32,32,358.3389525,89301357.1,926360.7986,46.92,46916200,104403304,46916200,8668631656,77246672,TRUE
